ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
255167,LINC01018,-0.282963884,5.466547705,-0.706130716,0.481669485,0.662658975,-6.374370552
100132285,KIR2DS2,-0.180206872,4.046022543,-0.705696859,0.481938189,0.662986959,-6.374672897
101928251,LOC101928251,0.161060691,4.195630591,0.705542212,0.482033987,0.663073613,-6.374780622
54094 /// 100874164,,-0.2622103,5.167692371,-0.705497335,0.48206179,0.663073613,-6.374811879
91408,BTF3L4,0.166003865,11.20055833,0.705342628,0.482157639,0.663163763,-6.374919616
122416,ANKRD9,0.180824033,10.10757333,0.705218888,0.48223431,0.663227526,-6.37500577
100507277,LINC02314,0.278894729,5.729748744,0.705078693,0.482321185,0.663305313,-6.375103364
6747,SSR3,-0.171924673,11.70178515,-0.704934344,0.482410644,0.663386643,-6.37520383
100130938,,-0.142633155,6.878565108,-0.704862356,0.48245526,0.663392811,-6.375253925
6468,FBXW4,0.107760223,10.19739408,0.704829269,0.482475768,0.663392811,-6.375276948
6330,SCN4B,0.280000102,4.211783466,0.704607222,0.482613407,0.66351745,-6.375431428
100885781,LINC00348,-0.301871099,4.900977661,-0.704585187,0.482627067,0.66351745,-6.375446755
203062,TSNARE1,-0.151051791,8.172541122,-0.704428278,0.482724343,0.663609489,-6.375555886
4439 /// 401251 /// 100532732,,-0.215066555,8.083604753,-0.704313435,0.482795548,0.663665677,-6.375635744
6794,STK11,-0.13669236,9.38503703,-0.704192996,0.482870228,0.663700803,-6.37571948
10575,CCT4,-0.225186534,12.56585073,-0.704174386,0.482881768,0.663700803,-6.375732417
10210,TOPORS,0.103721545,9.477809395,0.704071994,0.482945264,0.663712575,-6.375803592
79068,FTO,0.10311659,10.71532151,0.704062743,0.482951001,0.663712575,-6.375810023
23020 /// 101929240,,0.082705992,12.43897119,0.703855212,0.483079711,0.663822779,-6.375954249
323,APBB2,-0.142040035,9.981188717,-0.703835609,0.48309187,0.663822779,-6.375967871
55267,PRR34,0.208504022,4.885894549,0.703672046,0.483193326,0.663915272,-6.376081509
6261,RYR1,0.329610626,5.20255408,0.703617325,0.483227271,0.663915272,-6.376119521
151903,CCDC12,-0.138854867,10.95565225,-0.70357828,0.483251493,0.663915272,-6.376146642
101928135,LOC101928135,0.314963541,4.233962921,0.703531434,0.483280555,0.663915272,-6.37617918
10110,SGK2,0.219266942,8.045933439,0.703320172,0.483411627,0.664053642,-6.37632589
56895,AGPAT4,0.221989088,8.876575351,0.70307369,0.483564578,0.664222045,-6.376497003
8553,BHLHE40,-0.184539172,12.04774817,-0.70293427,0.483651104,0.664281283,-6.376593765
728099,,0.204020669,6.122866047,0.702906362,0.483668424,0.664281283,-6.376613131
1400,CRMP1,-0.219612348,7.636088842,-0.702497452,0.483922254,0.664571985,-6.376896807
4176,MCM7,0.12930065,10.92938111,0.702467526,0.483940834,0.664571985,-6.376917561
83439,TCF7L1,-0.266246588,9.533573793,-0.702392951,0.483987135,0.664593856,-6.376969277
9609,RAB36,0.187655681,9.43701399,0.702306237,0.484040976,0.664626078,-6.377029404
51205,ACP6,-0.143067534,10.57538727,-0.702211139,0.484100026,0.664665447,-6.377095336
256646,NUTM1,0.239294994,6.732726548,0.702030514,0.484212194,0.664707014,-6.377220539
83955,NACA4P,0.218875879,13.57673525,0.702028566,0.484213404,0.664707014,-6.377221889
8891,EIF2B3,0.157855891,8.915659776,0.701981478,0.484242648,0.664707014,-6.377254524
101929745,LINC02119,0.260789845,5.621741354,0.701966712,0.484251819,0.664707014,-6.377264757
7253,TSHR,0.271114575,5.066485906,0.701888971,0.484300103,0.664709969,-6.37731863
166379,BBS12,0.165510416,8.324660784,0.701851831,0.484323171,0.664709969,-6.377344366
57110,PLAAT1,0.331071391,7.710192019,0.701791551,0.484360613,0.664709969,-6.377386132
5911 /// 5912,,0.291418538,5.160671463,0.701767598,0.484375491,0.664709969,-6.377402727
2956 /// 440864,,0.160039489,3.418546107,0.701608668,0.484474217,0.664743368,-6.377512826
8175,SF3A2,-0.171779108,9.395486208,-0.701583598,0.484489792,0.664743368,-6.377530191
57491,AHRR,0.23086586,7.060672117,0.701581697,0.484490973,0.664743368,-6.377531507
3280,HES1,0.218714017,11.22482028,0.701451191,0.484572052,0.664812923,-6.377621893
56127,PCDHB9,0.289045644,5.865173553,0.701133445,0.484769488,0.665042096,-6.377841887
285367,RPUSD3,0.118249018,10.4486208,0.700937261,0.484891412,0.665089357,-6.377977667
101929093,LINC01350,-0.253203428,4.478413275,-0.700933916,0.484893491,0.665089357,-6.377979982
147872,KASH5,-0.225705845,6.404203674,-0.70093128,0.484895129,0.665089357,-6.377981806
3998,LMAN1,-0.127738875,13.43795637,-0.700759178,0.485002101,0.665194382,-6.378100887
9568,GABBR2,0.199137283,6.427732352,0.700565414,0.485122552,0.665290557,-6.378234921
148362,BROX,0.165551877,11.58782475,0.700548551,0.485133036,0.665290557,-6.378246585
25865,PRKD2,0.109248514,10.4422953,0.700484547,0.485172828,0.665303426,-6.37829085
3050,HBZ,0.199379182,3.347729012,0.700367,0.485245912,0.665324741,-6.378372135
57705,WDFY4,0.167291057,7.657135202,0.700361732,0.485249187,0.665324741,-6.378375778
503519,LINC00929,-0.16446453,3.095532417,-0.700155634,0.485377342,0.665458754,-6.378518263
5125,PCSK5,-0.409359041,9.16301742,-0.700033818,0.485453099,0.665520915,-6.378602461
1995,ELAVL3,0.227695921,5.482532459,0.69974702,0.485631481,0.665723752,-6.378800635
55968,NSFL1C,0.097004665,10.06375077,0.699290786,0.485915323,0.666071123,-6.379115721
283129,MAJIN,0.282290732,6.275143737,0.699196496,0.485973996,0.666109818,-6.379180814
959,CD40LG,-0.282503955,5.939586579,-0.698919271,0.486146525,0.666304558,-6.379372147
7165,TPD52L2,0.185583057,9.72209038,0.698860016,0.486183406,0.666313368,-6.379413034
79989,TTC26,0.134287236,8.419331647,0.698663977,0.486305434,0.666438864,-6.379548278
163351,GBP6,0.255217373,5.348708255,0.698553872,0.486373979,0.666491054,-6.379624221
101929180,LINC02673,-0.251728255,5.902508428,-0.698456081,0.486434862,0.666532739,-6.37969166
57091,CASS4,0.207272064,5.75408094,0.69834465,0.486504242,0.666586062,-6.379768496
4807,NHLH1,0.267410441,6.092430677,0.698064212,0.486678876,0.666751345,-6.379961813
27077,B9D1,-0.207284866,7.762017065,-0.698053062,0.486685819,0.666751345,-6.379969497
117154,DACH2,0.309479542,5.359843989,0.697932626,0.486760828,0.666811229,-6.380052493
388946 /// 101805491,,-0.25972733,4.516579789,-0.697885014,0.486790483,0.666811229,-6.3800853
729224,KIAA2012-AS1,0.30532152,4.300420439,0.697699264,0.486906185,0.666927966,-6.38021327
3760,KCNJ3,0.198489467,6.319782222,0.697195997,0.487219744,0.667294843,-6.380559819
57697,FANCM,-0.139690833,8.592718911,-0.697169428,0.487236301,0.667294843,-6.380578107
149018,LELP1,-0.22805318,5.977994715,-0.697122531,0.487265526,0.667294843,-6.380610386
10056,FARSB,0.113925272,11.60107567,0.697043971,0.487314485,0.667320123,-6.380664455
440867 /// 101927533,,0.22619738,3.925245262,0.696706092,0.487525084,0.667566733,-6.380896928
22844,FRMPD1,0.282019485,5.929825775,0.696456005,0.487680994,0.667709068,-6.381068926
2297,FOXD1,0.373473679,5.427206002,0.696441457,0.487690064,0.667709068,-6.38107893
353497,POLN,-0.214422936,7.776699949,-0.696274985,0.487793863,0.667809393,-6.381193384
83480,PUS3,-0.110646522,8.922294272,-0.696139189,0.487878544,0.667883535,-6.381286728
57495,NWD2,-0.293517844,4.746235597,-0.695994063,0.487969051,0.667965644,-6.381386466
54,ACP5,-0.216216959,7.891123513,-0.695678735,0.488165737,0.668193077,-6.381603104
57621,ZBTB2,-0.11225375,9.777038784,-0.69542124,0.488326381,0.668371151,-6.381779936
646600,IGF2BP2-AS1,0.193607394,6.010098417,0.695122791,0.488512612,0.668584222,-6.381984812
6334,SCN8A,-0.150926591,6.440373717,-0.695055578,0.488554558,0.668599808,-6.38203094
56995,TULP4,0.119067199,9.88486082,0.694960923,0.488613633,0.668622268,-6.382095894
2208,FCER2,0.265809474,4.520037216,0.694931357,0.488632087,0.668622268,-6.382116181
7750,ZMYM2,-0.102802757,12.35354492,-0.694542272,0.488874965,0.668912778,-6.382383072
8663 /// 728689,,0.146025263,12.54338704,0.694081716,0.489162542,0.669259873,-6.382698797
10020,GNE,-0.150133539,9.430221896,-0.694038046,0.489189815,0.669259873,-6.382728724
8330,H2AC15,0.188457708,7.879994994,0.693792749,0.489343024,0.669404348,-6.382896787
146439,BICDL2,-0.148271433,8.850652031,-0.693771006,0.489356606,0.669404348,-6.382911682
79939,SLC35E1,0.166881567,12.44397384,0.693549606,0.489494914,0.669528839,-6.383063317
10548 /// 79711,,0.180143149,10.90900555,0.693527358,0.489508813,0.669528839,-6.383078552
4828,NMB,0.161428659,7.847880166,0.693299252,0.489651335,0.669603663,-6.383234725
7048,TGFBR2,-0.224374909,10.61837836,-0.693232557,0.489693011,0.669603663,-6.383280378
85019,TMEM241,0.109830656,10.09227814,0.69322599,0.489697115,0.669603663,-6.383284874
646522,LINC02743,0.259452614,4.083112635,0.693182996,0.489723981,0.669603663,-6.383314301
84791,LINC00467,0.165658907,9.01493947,0.693157203,0.4897401,0.669603663,-6.383331954
55276,PGM2,0.133857426,12.50454796,0.693145937,0.48974714,0.669603663,-6.383339664
55279,ZNF654,-0.138021597,10.28675117,-0.692953812,0.489867211,0.66962411,-6.383471135
126731,CCSAP,0.180970332,10.08735847,0.692952797,0.489867845,0.66962411,-6.383471829
113278,SLC52A3,0.123520496,7.704944944,0.692901207,0.48990009,0.66962411,-6.383507126
2661,GDF9,-0.146644613,7.048157314,-0.692893915,0.489904647,0.66962411,-6.383512115
1815,DRD4,-0.245243531,4.313131419,-0.692877165,0.489915117,0.66962411,-6.383523574
57834,CYP4F11,-0.318199247,3.759031538,-0.69270445,0.490023077,0.669729835,-6.383641719
5147,PDE6D,-0.133129766,9.07245781,-0.692631693,0.490068559,0.669745758,-6.383691479
124404,SEPTIN12,0.197085926,4.745899208,0.692587883,0.490095948,0.669745758,-6.383721439
7227,TRPS1,0.140002291,11.6515074,0.692483672,0.490161099,0.669792958,-6.383792698
83734,ATG10,-0.109025062,8.50100956,-0.692214138,0.49032963,0.669981409,-6.383976954
6487,ST3GAL3,-0.153857762,8.49950074,-0.692098039,0.490402232,0.670038769,-6.384056298
442194,OR10C1,-0.263635035,5.145101038,-0.691879051,0.490539193,0.670184049,-6.384205924
399979,SNX19,0.154337362,9.566870954,0.691762153,0.490612313,0.670242096,-6.384285777
116159,CYYR1,-0.256824872,8.990274972,-0.691609145,0.490708028,0.670331001,-6.384390275
283112,,-0.277909312,4.436489832,-0.691362613,0.490862269,0.670417288,-6.384558599
56969,RPL23AP32,-0.191355931,7.564023003,-0.691332612,0.490881041,0.670417288,-6.384579078
79922,MRM1,-0.158507178,7.35888928,-0.691308869,0.490895897,0.670417288,-6.384595286
284459,ZNF875,-0.156521279,8.833404368,-0.691265138,0.490923261,0.670417288,-6.384625135
100506436,SPAG5-AS1,0.20335792,6.320714982,0.691263324,0.490924396,0.670417288,-6.384626373
8192,CLPP,-0.254870527,8.208999845,-0.691066706,0.491047436,0.670543463,-6.384760556
11044,TENT4A,0.120311865,11.50732534,0.690706147,0.491273112,0.670769687,-6.385006522
27342,RABGEF1,0.14232818,7.877463351,0.69068555,0.491286005,0.670769687,-6.385020569
23167,EFR3A,-0.111004461,13.12888758,-0.690651922,0.491307056,0.670769687,-6.385043502
341947,COX8C,-0.346777061,3.906774303,-0.690606118,0.49133573,0.670769687,-6.385074737
101927320,ERICH3-AS1,0.237668352,3.592466694,0.690533362,0.491381279,0.670790016,-6.385124348
407021 /// 407024,,-0.253897344,5.7868104,-0.690401963,0.491463546,0.670848294,-6.385213931
9678,PHF14,0.106445279,11.8586596,0.690311994,0.491519878,0.670848294,-6.38527526
10219,KLRG1,-0.202052011,6.510327566,-0.690276538,0.491542079,0.670848294,-6.385299427
83888,FGFBP2,0.379949474,5.774244598,0.690269301,0.491546611,0.670848294,-6.385304359
10369,CACNG2,-0.202953969,6.189893094,-0.690088871,0.491659598,0.670960644,-6.38542732
